STRNBR,addr:street,APN,STRDIRECT,STRNAME,STRAPART,STRFRACT,BLDSQFTTAXABLE,@lat,@lon,Total Taxable Value
1475,Hopkins Street,060 242904900,nan,HOPKINS ST,nan,nan,1274,37.8809031,-122.2838947,795370.0
1819,Acton Street,057 207702300,nan,ACTON ST,nan,nan,1418,37.872143,-122.2843568,318109.0
1452,Grizzly Peak Boulevard,060 248901300,nan,GRIZZLY PEAK BLVD,nan,nan,2312,37.8836407,-122.2488607,1480000.0
2730,Buena Vista Way,058 224205601,nan,BUENA VISTA WAY,nan,nan,1747,37.8814273,-122.2573014,117343.0
1414,Milvia Street,059 226600600,nan,MILVIA ST,nan,nan,3122,37.8812101,-122.2721028,354997.0
1818,Monterey Avenue,061 260900500,nan,MONTEREY AVE,nan,nan,2716,37.8872354,-122.2775689,94906.0
1319,University Avenue,057 207300901,nan,UNIVERSITY AVE,nan,nan,1804,37.8701501,-122.2860595,72704.0
2808,Woolsey Street,052 156313400,nan,WOOLSEY ST,nan,nan,2297,37.8539966,-122.2504992,1503120.0
1384,Ada Street,060 242305900,nan,ADA ST,nan,nan,1939,37.8785743,-122.2857307,101882.0
921,Grizzly Peak Boulevard,063 296701600,nan,GRIZZLY PEAK BLVD,nan,nan,1615,37.8969034,-122.2608491,1165899.0
1514,Martin Luther King Jr Way,059 227100700,nan,M L KING JR WAY,nan,nan,1078,37.8790314,-122.274124,606135.0
2817,Ashby Avenue,052 156601200,nan,ASHBY AVE,nan,nan,2986,37.8579933,-122.2499314,1011983.0
2959,San Pablo Avenue,053 162901901,nan,SAN PABLO AVE,nan,nan,1287,37.8532704,-122.2867537,72029.0
1631,California Street,058 215602100,nan,CALIFORNIA ST,nan,nan,972,37.8758402,-122.2801479,609533.0
1354,Hopkins Street,060 242302900,nan,HOPKINS ST,nan,nan,1128,37.8790887,-122.2864061,290482.0
200,Marina Boulevard,060 252800701,nan,MARINA BLVD,PRKNG,nan,0,37.8691676,-122.3144814,0.0
2925,Deakin Street,052 158001800,nan,DEAKIN ST,nan,nan,1326,37.8563785,-122.2622493,253329.0
1337,Josephine Street,060 244702300,nan,JOSEPHINE ST,nan,nan,2813,37.8819122,-122.2750165,247752.0
2067,Bonar Street,056 198101400,nan,BONAR ST,nan,nan,1374,37.8691801,-122.2871808,773550.0
2018,Allston Way,057 202700203,nan,ALLSTON WAY,nan,nan,30828,37.8689612,-122.2695356,3390445.0
1236,Gilman Street,060 240000200,nan,GILMAN ST,nan,nan,1942,37.8810368,-122.2919482,77919.0
2777,Ninth Street,054 174504900,nan,NINTH ST,5,nan,692,37.8560338,-122.2899906,145624.0
2927,Garber Street,054 170202500,nan,GARBER ST,nan,nan,7826,37.8612075,-122.2476078,1351818.0
1324,Alcatraz Avenue,052 144502000,nan,ALCATRAZ AVE,nan,nan,2378,37.8473904,-122.2801306,328021.0
1797,Thousand Oaks Boulevard,062 289501300,nan,THOUSAND OAKS BLVD,nan,nan,2029,37.8975261,-122.2816859,1781732.0
1088,Cragmont Avenue,063 298703000,nan,CRAGMONT AVE,nan,nan,2568,37.8910213,-122.2611229,574212.0
1061,Mariposa Avenue,061 256002400,nan,MARIPOSA AVE,nan,nan,3202,37.8877341,-122.2710691,862755.0
1907,Marin Avenue,061 257402000,nan,MARIN AVE,nan,nan,2456,37.8892561,-122.2759507,1450500.0
1940,Hopkins Street,061 256500100,nan,HOPKINS ST,nan,nan,2302,37.886706,-122.2734255,99436.0
1625,Prince Street,053 160601200,nan,PRINCE ST,nan,nan,3764,37.8521711,-122.2756047,1201924.0
2724,Garber Street,053 169903100,nan,GARBER ST,B,nan,1177,37.8605501,-122.2520651,1179409.0
2106,California Street,056 200203700,nan,CALIFORNIA ST,nan,B,1228,37.8693661,-122.2801508,424891.0
2827,Park Street,053 166701400,nan,PARK ST,nan,nan,1148,37.8546148,-122.2826169,423530.0
1607,Prince Street,053 160601600,nan,PRINCE ST,nan,nan,4533,37.8520344,-122.2762694,929199.0
1519,Milvia Street,059 226402900,nan,MILVIA ST,nan,nan,2026,37.8792186,-122.2712993,1350000.0
2929,Hillegass Avenue,052 156901900,nan,HILLEGASS AVE,nan,nan,1338,37.8571566,-122.2553928,1540799.0
1622,Berkeley Way,057 207001800,nan,BERKELEY WAY,nan,nan,4427,37.8714917,-122.2790141,818831.0
1421,Bonita Avenue,059 226602900,nan,BONITA AVE,nan,nan,1272,37.8808436,-122.2726425,63422.0
642,Santa Rosa Avenue,062 289004500,nan,SANTA ROSA AVE,nan,nan,2239,37.8959155,-122.2821789,120580.0
1208,Francisco Street,058 213400300,nan,FRANCISCO ST,nan,nan,1295,37.8728605,-122.289428,229676.0
2145,Sacramento Street,056 200002100,nan,SACRAMENTO ST,nan,nan,1134,37.8678428,-122.2814185,719578.0
1641,Eighth Street,058 212402300,nan,EIGHTH ST,nan,nan,3057,37.873219,-122.296803,1385610.0
2015,Delaware Street,058 217603400,nan,DELAWARE ST,REAR,nan,1112,37.8747164,-122.2704134,728057.0
2326,Tenth Street,056 193401201,nan,TENTH ST,nan,nan,1407,37.8634174,-122.2917979,296244.0
3217,Boise Street,052 153804301,nan,BOISE ST,nan,nan,1721,37.8492465,-122.280625,63421.0
