STRNBR,addr:street,APN,STRDIRECT,STRNAME,STRAPART,STRFRACT,BLDSQFTTAXABLE,@lat,@lon,Total Taxable Value
2024,Eighth Street,056 196700900,nan,EIGHTH ST,nan,nan,1796,37.8673558,-122.295575,934295.0
1715,Lincoln Street,058 216301000,nan,LINCOLN ST,nan,nan,1096,37.8765799,-122.2773984,682348.0
2125,University Avenue,057 204600804,nan,UNIVERSITY AVE,nan,nan,54482,37.872397,-122.26764,55554611.0
2121,Cedar Street,059 225902800,nan,CEDAR ST,nan,nan,619,37.8787402,-122.2678409,114980.0
2525,Etna Street,055 185001901,nan,ETNA ST,nan,nan,1589,37.8649346,-122.2521768,455801.0
1340,Haskell Street,052 151603200,nan,HASKELL ST,nan,nan,1878,37.8512207,-122.2816354,56173.0
2620,Marin Avenue,063 296402600,nan,MARIN AVE,nan,nan,1878,37.8965647,-122.2620113,988820.0
2027,Delaware Street,058 217600800,nan,DELAWARE ST,nan,nan,2808,37.8748614,-122.269856,1730310.0
1535,Oregon Street,053 167103300,nan,OREGON ST,nan,nan,1961,37.8563767,-122.2783314,1204195.0
1719,Buena Avenue,059 228300800,nan,BUENA AVE,nan,nan,1813,37.8796739,-122.2786507,823854.0
2706,Acton Street,054 173900200,nan,ACTON ST,nan,nan,832,37.858051,-122.2825928,329527.0
576,Vistamont Avenue,063 310009100,nan,VISTAMONT AVE,nan,nan,2395,37.9030106,-122.2655733,951819.0
2815,Mathews Street,053 166402000,nan,MATHEWS ST,nan,nan,1173,37.8545217,-122.285275,824448.0
1420,Keoncrest Drive,059 228612900,nan,KEONCREST DR,nan,nan,1466,37.8769215,-122.2845691,361140.0
1607,Lincoln Street,058 215501600,nan,LINCOLN ST,nan,nan,1715,37.8763129,-122.2800309,469616.0
911,Tulare Avenue,061 261402100,nan,TULARE AVE,nan,nan,1376,37.8907566,-122.282005,977817.0
1707,Curtis Street,058 213302100,nan,CURTIS ST,nan,nan,1443,37.873628,-122.28978,421510.0
2334,Valley Street,056 192301600,nan,VALLEY ST,nan,nan,881,37.864022,-122.2845175,316106.0
1921,Francisco Street,058 217001201,nan,FRANCISCO ST,nan,nan,25936,37.8753627,-122.2724228,2547950.0
2806,Mathews Street,053 166300700,nan,MATHEWS ST,nan,nan,3000,37.8547156,-122.2858899,80451.0
2220,Browning Street,056 198701200,nan,BROWNING ST,nan,nan,1913,37.8659442,-122.2880291,47566.0
815,The Alameda,061 257506200,nan,THE ALAMEDA,nan,nan,2727,37.8939317,-122.2766912,1869165.0
3031,Adeline Street,053 159500903,nan,ADELINE ST,nan,nan,18368,37.8227599,-122.2817942,1706429.0
1346,Carleton Street,054 179200100,nan,CARLETON ST,nan,nan,987,37.8590925,-122.282826,180570.0
1235,Fifth Street,060 235901904,nan,FIFTH ST,nan,nan,10880,37.8800064,-122.3024242,283541.0
734,Spruce Street,061 258200600,nan,SPRUCE ST,nan,nan,4316,37.8967809,-122.2696452,412834.0
531,Vincente Avenue,062 290703900,nan,VINCENTE AVE,nan,nan,1713,37.8985257,-122.2836556,860649.0
1640,Cedar Street,058 215503300,nan,CEDAR ST,nan,nan,1828,37.8769953,-122.2786875,787067.0
716,Wildcat Canyon Road,063 312000700,nan,WILDCAT CANYON RD,nan,nan,2040,37.8996201,-122.2598579,352770.0
1180,Keeler Avenue,063 298502900,nan,KEELER AVE,nan,nan,2130,37.8888882,-122.2558672,1100000.0
65,Maryland Avenue,062 294901800,nan,MARYLAND AVE,nan,nan,1605,37.9032375,-122.2735437,856375.0
1725,Stuart Street,054 172901300,nan,STUART ST,nan,nan,2157,37.8577995,-122.2743587,42810.0
1010,Cragmont Avenue,063 297405700,nan,CRAGMONT AVE,3,nan,1301,37.8904644,-122.2658127,969291.0
1535,Carleton Street,054 180100800,nan,CARLETON ST,nan,nan,1666,37.8600021,-122.2788345,728029.0
1226,Rose Street,059 229100400,nan,ROSE ST,nan,nan,2070,37.8764417,-122.2903276,796333.0
2960,Piedmont Avenue,052 156704900,nan,PIEDMONT AVE,nan,nan,3735,37.8563595,-122.2508691,1052304.0
1159,Keeler Avenue,063 298404800,nan,KEELER AVE,nan,nan,2441,37.8894536,-122.2566868,108497.0
1014,Shattuck Avenue,061 255900500,nan,SHATTUCK AVE,nan,nan,2927,37.8889848,-122.2694389,676095.0
2344,Fulton Street,055 189200400,nan,FULTON ST,nan,nan,2136,37.8661614,-122.2658669,284691.0
1357,Addison Street,056 199500600,nan,ADDISON ST,nan,nan,1870,37.869272,-122.2846335,259150.0
2514,Dana Street,055 183100500,nan,DANA ST,nan,nan,2055,37.8642469,-122.2608711,924103.0
1892,San Juan Avenue,062 289700100,nan,SAN JUAN AVE,nan,nan,1722,37.8976067,-122.2782703,1236671.0
1044,Cragmont Avenue,063 298701500,nan,CRAGMONT AVE,nan,nan,2086,37.8911055,-122.2631014,90829.0
2828,Telegraph Avenue,053 168900403,nan,TELEGRAPH AVE,nan,nan,4610,37.8588486,-122.259589,1231491.0
1825,Ward Street,054 172700900,nan,WARD ST,nan,nan,1797,37.8589911,-122.2722916,53002.0
1508,Fairview Street,052 153601700,nan,FAIRVIEW ST,nan,nan,1351,37.8496129,-122.2777201,471703.0
1221,Queens Road,060 248602500,nan,QUEENS RD,nan,nan,951,37.88737,-122.2534204,309442.0
2915,Dohr Street,053 161901600,nan,DOHR ST,nan,nan,5382,37.8539102,-122.2807333,916794.0
1215,Carlotta Avenue,060 243602900,nan,CARLOTTA AVE,nan,nan,2867,37.8840737,-122.2800512,673788.0
699,Santa Rosa Avenue,062 289302501,nan,SANTA ROSA AVE,nan,nan,2301,37.8951659,-122.2804789,1071439.0
1426,San Pablo Avenue,059 233201500,nan,SAN PABLO AVE,nan,nan,1107,37.8777873,-122.2952503,273028.0
1530,Buena Avenue,059 228402200,nan,BUENA AVE,nan,nan,1189,37.8780142,-122.281446,621368.0
2473,Prince Street,052 157404900,nan,PRINCE ST,nan,nan,1899,37.8541325,-122.2569022,1667093.0
1070,Grizzly Peak Boulevard,063 297900900,nan,GRIZZLY PEAK BLVD,nan,nan,2505,37.8926622,-122.2577474,1094716.0
1118,Milvia Street,061 256800400,nan,MILVIA ST,nan,nan,2487,37.885998,-122.2733458,518805.0
693,Vincente Avenue,062 289001200,nan,VINCENTE AVE,nan,nan,1577,37.894761,-122.2820805,280806.0
2416,Browning Street,056 193001000,nan,BROWNING ST,nan,nan,1831,37.8625413,-122.2873883,493613.0
3091,Wheeler Street,052 158402300,nan,WHEELER ST,nan,nan,1277,37.8536485,-122.2639823,378980.0
1082,Keith Avenue,063 298700300,nan,KEITH AVE,nan,nan,1284,37.8907212,-122.26241,336328.0
1908,Blake Street,055 181602200,nan,BLAKE ST,nan,nan,1064,37.8623391,-122.2715111,979032.0
1212,Kains Avenue,060 240500800,nan,KAINS AVE,nan,nan,1491,37.881874,-122.2955257,215248.0
1085,Spruce Street,061 255500800,nan,SPRUCE ST,nan,nan,2834,37.889112,-122.2663981,347154.0
3005,Claremont Avenue,064 423802000,nan,CLAREMONT AVE,nan,nan,2521,37.8557738,-122.2468914,608852.0
2951,Shasta Road,063 298302400,nan,SHASTA RD,nan,nan,2207,37.8886509,-122.2529248,953013.0
1422,Cornell Avenue,060 239800900,nan,CORNELL AVE,nan,nan,1282,37.8783703,-122.2926063,48245.0
1624,Bonita Avenue,058 217101200,nan,BONITA AVE,nan,nan,4684,37.8770339,-122.2727048,573261.0
2741,Webster Street,052 156705200,nan,WEBSTER ST,nan,nan,2600,37.8560788,-122.2510679,2860000.0
1119,Milvia Street,061 256502800,nan,MILVIA ST,nan,nan,1824,37.8862503,-122.2728785,94227.0
2800,Derby Street,054 170401600,nan,DERBY ST,nan,nan,2580,37.8621249,-122.2509717,1202842.0
1697,Visalia Avenue,062 290302200,nan,VISALIA AVE,nan,nan,1993,37.8993876,-122.2834875,128883.0
2419,Tenth Street,056 193202000,nan,TENTH ST,nan,nan,2172,37.862009,-122.290941,518251.0
1131,Hopkins Street,060 239402300,nan,HOPKINS ST,nan,nan,2099,37.8761079,-122.2929,715475.0
800,Grayson Street,053 170400201,nan,GRAYSON ST,nan,nan,41663,37.8546166,-122.2941734,5498107.0
1911,Ninth Street,057 208902500,nan,NINTH ST,COM,nan,0,37.8695905,-122.2943424,0.0
1815,Ward Street,054 172701200,nan,WARD ST,nan,nan,1132,37.858941,-122.2726807,762854.0
2417,Spaulding Avenue,055 191306400,nan,SPAULDING AVE,nan,nan,1581,37.8635111,-122.2799355,385977.0
745,Ensenada Avenue,062 288101300,nan,ENSENADA AVE,nan,nan,1840,37.8940111,-122.2845907,251969.0
2713,Ellsworth Street,054 171501801,nan,ELLSWORTH ST,nan,nan,2519,37.8605175,-122.261935,401644.0
1640,Bancroft Way,055 190900400,nan,BANCROFT WAY,nan,nan,2525,37.866151,-122.2774902,205821.0
2317,Prospect Street,055 185305700,nan,PROSPECT ST,nan,nan,3439,37.8686741,-122.2498861,825110.0
1626,Ninth Street,058 212401200,nan,NINTH ST,nan,nan,709,37.8737244,-122.2965483,42809.0
2115,Allston Way,057 203100500,nan,ALLSTON WAY,nan,nan,2519,37.8696285,-122.2671714,275554.0
955,Euclid Avenue,063 297504800,nan,EUCLID AVE,nan,nan,1903,37.8931496,-122.2646239,566909.0
2235,Haste Street,055 188800600,nan,HASTE ST,nan,nan,2193,37.8655378,-122.2637715,300294.0
1962,Hopkins Street,061 256500500,nan,HOPKINS ST,nan,nan,1410,37.8872387,-122.2730727,1350000.0
1314,Channing Way,056 192000500,nan,CHANNING WAY,nan,nan,1149,37.8632964,-122.285447,52629.0
14,Claremont Crescent,052 156506800,nan,CLAREMONT CRES,nan,nan,1901,37.8573646,-122.2468273,628016.0
2123,California Street,056 200503600,nan,CALIFORNIA ST,nan,nan,1503,37.8689393,-122.2793757,409145.0
1435,Milvia Street,059 226502000,nan,MILVIA ST,nan,nan,2141,37.8805364,-122.2714441,940502.0
1528,Ada Street,060 243203000,nan,ADA ST,nan,nan,1740,37.8802285,-122.2820275,145659.0
281,Alvarado Road,064 422300400,nan,ALVARADO RD,nan,nan,4676,37.8572039,-122.2379638,202510.0
2519,Etna Street,055 185002500,nan,ETNA ST,U2,nan,1522,37.8651093,-122.2524387,90493.0
479,Grizzly Peak Boulevard,063 310004700,nan,GRIZZLY PEAK BLVD,nan,nan,2259,37.9034018,-122.2688513,522227.0
1633,Portland Avenue,062 287700900,nan,PORTLAND AVE,nan,nan,1465,37.8948536,-122.2850319,1404568.0
2134,California Street,056 200201400,nan,CALIFORNIA ST,nan,nan,1035,37.8685528,-122.2800359,42356.0
2311,Rose Street,060 246502300,nan,ROSE ST,nan,nan,2158,37.8832201,-122.2645945,141511.0
801,The Alameda,061 257506400,nan,THE ALAMEDA,nan,nan,3922,37.894221,-122.2768204,944057.0
69,Sunset Lane,063 311008700,nan,SUNSET LN,nan,nan,1527,37.8996016,-122.2610655,101928.0
1282,Carlotta Avenue,060 243501900,nan,CARLOTTA AVE,nan,nan,2215,37.8829015,-122.2809199,499685.0
1633,Posen Avenue,061 260702100,nan,POSEN AVE,nan,nan,2691,37.8846846,-122.2794806,717133.0
2410,Jefferson Avenue,055 191100700,nan,JEFFERSON AVE,nan,nan,1264,37.8639618,-122.2782009,334382.0
2140,Derby Street,054 171901400,nan,DERBY ST,nan,nan,2191,37.8604268,-122.2649818,453954.0
983,Overlook Road,063 313004100,nan,OVERLOOK RD,nan,nan,2212,37.8956241,-122.2573829,780321.0
570,Woodmont Avenue,063 310001900,nan,WOODMONT AVE,nan,nan,1250,37.9022755,-122.2661069,260283.0
1513,Oregon Street,053 167101600,nan,OREGON ST,nan,nan,2594,37.8563025,-122.279015,568810.0
201,University Avenue,060 900800500,nan,UNIVERSITY AVE,H42,nan,0,37.8641448,-122.3137951,271940.0
1124,Carleton Street,054 178602200,nan,CARLETON ST,nan,nan,2270,37.8584909,-122.2874713,55040.0
2721,Forest Avenue,054 170801000,nan,FOREST AVE,nan,nan,2450,37.8616537,-122.2525216,86072.0
1518,Martin Luther King Jr Way,059 227100900,nan,M L KING JR WAY,nan,nan,3491,37.8788245,-122.2740614,1727312.0
1735,Spruce Street,058 218206800,nan,SPRUCE ST,3,nan,711,37.8764225,-122.2651111,169445.0
2642,College Avenue,055 184501501,nan,COLLEGE AVE,nan,nan,3505,37.8620558,-122.2538177,613039.0
360,Rugby Avenue,062 294200201,nan,RUGBY AVE,nan,nan,3350,37.903902,-122.2744947,737545.0
1316,Shattuck Avenue,060 245505800,nan,SHATTUCK AVE,nan,nan,1915,37.8832382,-122.2699814,1249438.0
841,Euclid Avenue,063 296203100,nan,EUCLID AVE,nan,nan,2347,37.8956013,-122.265541,161105.0
2729,Dohr Street,054 173700200,nan,DOHR ST,nan,nan,1151,37.8575133,-122.28138,929530.0
1209,Oxford Street,060 246604400,nan,OXFORD ST,nan,nan,1354,37.885624,-122.2674314,1025000.0
977,Tulare Avenue,061 261802600,nan,TULARE AVE,nan,nan,1369,37.8875024,-122.281662,1047221.0
972,Grizzly Peak Boulevard,063 296901101,nan,GRIZZLY PEAK BLVD,nan,nan,1625,37.8952893,-122.2602542,498257.0
40,San Mateo Road,061 257901800,nan,SAN MATEO RD,nan,nan,2456,37.8931284,-122.2734216,1909764.0
784,Santa Barbara Road,061 258100500,nan,SANTA BARBARA RD,nan,nan,4800,37.8955543,-122.2711063,204310.0
2634,Acton Street,054 179200300,nan,ACTON ST,nan,nan,926,37.8587756,-122.2828081,374596.0
1919,Curtis Street,057 208302500,nan,CURTIS ST,nan,nan,7660,37.8700999,-122.2893338,1992988.0
1538,Carleton Street,054 180202700,nan,CARLETON ST,nan,nan,1574,37.8596682,-122.2785431,832724.0
770,Santa Barbara Road,061 258100301,nan,SANTA BARBARA RD,nan,nan,2913,37.8960157,-122.2712256,760959.0
171,Brookside Drive,052 156316300,nan,BROOKSIDE DR,nan,nan,2550,37.8533415,-122.2496662,101475.0
2550,Dana Street,055 183210400,nan,DANA ST,6B,nan,852,37.863204,-122.2606906,358070.0
1196,Cornell Avenue,060 240700200,nan,CORNELL AVE,nan,nan,770,37.8829019,-122.2939794,610664.0
1708,Martin Luther King Jr Way,058 216704500,nan,M L KING JR WAY,2,nan,422,37.8756597,-122.2737179,209508.0
2010,Berryman Street,060 245300200,nan,BERRYMAN ST,nan,nan,1706,37.8834205,-122.2715247,939441.0
1832,Second Street,057 210600300,nan,SECOND ST,nan,nan,3678,37.8685536,-122.3028962,1906536.0
1448,Ordway Street,060 242308600,nan,ORDWAY ST,nan,nan,2377,37.8781583,-122.2874455,100146.0
1483,Campus Drive,060 248302500,nan,CAMPUS DR,nan,nan,1666,37.8821152,-122.2520588,1019280.0
3100,Ellis Street,052 154600500,nan,ELLIS ST,nan,nan,1627,37.8520774,-122.2732254,788294.0
1340,Martin Luther King Jr Way,060 244701400,nan,M L KING JR WAY,nan,nan,1629,37.8817811,-122.274362,1545840.0
1521,Euclid Avenue,058 224701501,nan,EUCLID AVE,nan,nan,1903,37.8808686,-122.2612351,1000690.0
1836,San Pedro Avenue,062 288802200,nan,SAN PEDRO AVE,nan,nan,2159,37.8929919,-122.2788784,550338.0
840,Delaware Street,057 209500400,nan,DELAWARE ST,nan,nan,1900,37.8705433,-122.2977217,985100.0
1321,Blake Street,054 178301000,nan,BLAKE ST,nan,nan,1675,37.861135,-122.2843682,284830.0
25,Panoramic Way,055 186100400,nan,PANORAMIC WAY,nan,nan,2329,37.8686421,-122.2490231,195162.0
2640,Derby Street,054 170900200,nan,DERBY ST,nan,nan,1572,37.8615906,-122.2541758,542637.0
2601,San Pablo Avenue,054 178501700,nan,SAN PABLO AVE,nan,nan,0,37.8173019,-122.2758189,236513.0
2779,Hilgard Avenue,058 221200102,nan,HILGARD AVE,nan,2021-01-02T00:00:00.000,770,37.8796252,-122.2553904,439388.0
1341,Santa Fe Avenue,060 239207500,nan,SANTA FE AVE,nan,nan,2549,37.8800615,-122.2912403,267927.0
2550,Dana Street,055 183211300,nan,DANA ST,7C,nan,749,37.863204,-122.2606906,382770.0
15,The Crescent,063 314002002,nan,THE CRESCENT,nan,nan,3678,37.8953243,-122.2546045,1154557.0
2700,San Pablo Avenue,054 174406900,nan,SAN PABLO AVE,309,nan,955,37.857686,-122.2887561,227744.0
1542,Grant Street,059 227501500,nan,GRANT ST,nan,nan,2182,37.8779935,-122.2762451,245087.0
1109,The Alameda,061 257301400,nan,THE ALAMEDA,nan,nan,1572,37.8876923,-122.2759353,88337.0
1124,Dwight Way,054 178102401,nan,DWIGHT WAY,nan,nan,5666,37.8610096,-122.2882806,1512378.0
1504,Carleton Street,054 180202900,nan,CARLETON ST,A,nan,620,37.8594062,-122.2798624,503140.0
1640,Scenic Avenue,058 218600400,nan,SCENIC AVE,nan,nan,4920,37.8785541,-122.2631366,1599991.0
2407,Spaulding Avenue,055 191306801,nan,SPAULDING AVE,nan,nan,850,37.8638569,-122.2799718,219524.0
1482,Keoncrest Drive,059 228613600,nan,KEONCREST DR,nan,nan,1382,37.8770237,-122.2834579,727613.0
2153,Russell Street,053 168600700,nan,RUSSELL ST,nan,nan,2036,37.8572307,-122.2642862,171904.0
1710,Milvia Street,058 217000300,nan,MILVIA ST,nan,nan,2369,37.8757789,-122.2714151,638197.0
2328,Valley Street,056 192301300,nan,VALLEY ST,nan,nan,879,37.8643046,-122.2845691,300078.0
1709,Addison Street,056 201101400,nan,ADDISON ST,nan,nan,1808,37.8702756,-122.2769469,499781.0
1809,Marin Avenue,061 261101700,nan,MARIN AVE,nan,nan,3414,37.8895735,-122.2783542,1390671.0
14,Maybeck Twin Drive,058 224201611,nan,MAYBECK TWIN DR,nan,nan,3501,37.8829382,-122.2576632,272138.0
1628,Bonita Avenue,058 217101400,nan,BONITA AVE,nan,nan,2174,37.8768204,-122.2727106,1055803.0
2123,Los Angeles Avenue,061 258702700,nan,LOS ANGELES AVE,nan,nan,1815,37.8892194,-122.2682109,79731.0
2040,Addison Street,057 202302400,nan,ADDISON ST,nan,nan,12750,37.8709541,-122.2690818,3688800.0
1119,Grizzly Peak Boulevard,063 314010700,nan,GRIZZLY PEAK BLVD,nan,nan,2234,37.892378,-122.2554117,1371674.0
68,The Plaza Drive,064 424500500,nan,THE PLAZA DR,nan,nan,2867,37.8547939,-122.243618,714674.0
1202,Neilson Street,060 241200405,nan,NEILSON ST,nan,nan,923,37.8828566,-122.2888346,47566.0
1560,Stannage Avenue,059 228800500,nan,STANNAGE AVE,nan,nan,1304,37.8755984,-122.292514,176392.0
2795,San Pablo Avenue,054 174202900,nan,SAN PABLO AVE,nan,nan,1085,37.8557418,-122.2875399,695850.0
1520,Seventh Street,059 231400600,nan,SEVENTH ST,nan,nan,878,37.8749722,-122.2990554,68735.0
2340,Vine Street,059 225200301,nan,VINE ST,nan,nan,4754,37.880769,-122.2639714,245878.0
1314,Spruce Street,060 246604700,nan,SPRUCE ST,nan,nan,3696,37.8837097,-122.2665515,1864113.0
2055,Center Street,057 202302600,nan,CENTER ST,nan,nan,178013,37.8702975,-122.2691546,77591422.0
990,Overlook Road,063 313004800,nan,OVERLOOK RD,nan,nan,1400,37.8950875,-122.2575831,413035.0
2774,Dohr Street,054 173801800,nan,DOHR ST,nan,nan,1690,37.856026,-122.2815449,651917.0
3031,Benvenue Avenue,052 156203000,nan,BENVENUE AVE,nan,nan,2584,37.8547684,-122.2535932,111215.0
2640,Parker Street,055 184500300,nan,PARKER ST,nan,nan,1246,37.8633894,-122.2544039,399911.0
588,Santa Barbara Road,062 291500400,nan,SANTA BARBARA RD,nan,nan,2695,37.8998518,-122.2743396,1427016.0
21,Avenida Drive,060 248203700,nan,AVENIDA DR,nan,nan,1212,37.8830002,-122.2522791,256442.0
2032,Cedar Street,058 217302800,nan,CEDAR ST,nan,nan,2103,37.8779524,-122.2698375,513781.0
1952,Los Angeles Avenue,061 257403900,nan,LOS ANGELES AVE,nan,nan,2287,37.8902503,-122.2741923,610800.0
2813,Park Street,053 166701900,nan,PARK ST,nan,nan,1560,37.8550917,-122.2826898,48018.0
2315,Prince Street,052 157601100,nan,PRINCE ST,nan,nan,1393,37.8538856,-122.2611796,1156286.0
1811,Short Street,057 207602300,nan,SHORT ST,nan,nan,1371,37.8723899,-122.2831915,238185.0
2423,Grant Street,055 190302400,nan,GRANT ST,nan,nan,519,37.864,-122.2742832,618336.0
1661,Thousand Oaks Boulevard,062 290201600,nan,THOUSAND OAKS BLVD,nan,nan,3730,37.8969769,-122.284702,639926.0
3075,Bateman Street,052 156002300,nan,BATEMAN ST,nan,nan,1346,37.8539562,-122.2555327,1279933.0
1719,Rose Street,060 243802300,nan,ROSE ST,nan,nan,1584,37.8806237,-122.278907,243946.0
740,Keeler Avenue,063 296301500,nan,KEELER AVE,nan,nan,1842,37.8983142,-122.2645199,412271.0
3210,Boise Street,052 153800702,nan,BOISE ST,nan,nan,1740,37.8492863,-122.2811294,397563.0
1100,Gilman Street,060 240702000,nan,GILMAN ST,nan,nan,4022,37.8811458,-122.2939755,125712.0
30,Acacia Avenue,063 295600301,nan,ACACIA AVE,nan,nan,2397,37.9002893,-122.2685915,1206888.0
1705,Allston Way,056 201002000,nan,ALLSTON WAY,nan,nan,924,37.8684064,-122.276883,528960.0
10,Roble Road,064 425500900,nan,ROBLE RD,nan,nan,10803,37.8540814,-122.2382848,333988.0
3034,Benvenue Avenue,052 156101200,nan,BENVENUE AVE,nan,nan,1634,37.8546976,-122.2541299,117028.0
837,Ensenada Avenue,062 288601700,nan,ENSENADA AVE,nan,nan,1812,37.8926037,-122.2826491,1188812.0
1800,Monterey Avenue,061 260900100,nan,MONTEREY AVE,nan,nan,1489,37.8870524,-122.2781634,182281.0
1116,Harrison Street,060 240600200,nan,HARRISON ST,nan,nan,1594,37.882358,-122.2950949,622434.0
2418,Seventh Street,056 194000902,nan,SEVENTH ST,nan,nan,1252,37.8612469,-122.2946542,618076.0
1921,Hopkins Street,061 256901000,nan,HOPKINS ST,nan,nan,1666,37.8862346,-122.2744789,329542.0
2021,Tenth Street,056 197801700,nan,TENTH ST,nan,nan,3052,37.868069,-122.2928019,1385441.0
2217,Sacramento Street,056 199902300,nan,SACRAMENTO ST,nan,nan,1136,37.8668848,-122.2813204,675901.0
1532,Virginia Street,058 215202100,nan,VIRGINIA ST,COM,nan,0,37.8748772,-122.2808708,0.0
1907,Chestnut Street,057 208101900,nan,CHESTNUT ST,nan,nan,1372,37.8708386,-122.2879779,553104.0
2810,Buena Vista Way,058 224208204,nan,BUENA VISTA WAY,nan,nan,2244,37.8811053,-122.2558897,722402.0
1005,Harrison Street,060 238900801,nan,HARRISON ST,nan,nan,23373,37.8827558,-122.2985456,1118335.0
1629,San Pablo Avenue,059 228702500,nan,SAN PABLO AVE,nan,nan,5000,37.874159,-122.2934237,182338.0
1215,Bancroft Way,056 198702000,nan,BANCROFT WAY,nan,nan,971,37.865176,-122.2879674,576970.0
2,Panoramic Way,055 185306700,nan,PANORAMIC WAY,202,nan,922,37.8691649,-122.2499292,601495.0
1909,San Antonio Avenue,062 291600800,nan,SAN ANTONIO AVE,nan,nan,2153,37.8995973,-122.2770531,504308.0
1110,Parker Street,054 178501900,nan,PARKER ST,nan,nan,3709,37.8592591,-122.2883316,1906535.0
514,Arlington Avenue,062 292301100,nan,ARLINGTON AVE,nan,nan,2649,37.9012483,-122.277113,851921.0
1800,University Avenue,057 201601801,nan,UNIVERSITY AVE,nan,nan,3881,37.8709518,-122.274845,724129.0
2738,Grant Street,054 172900400,nan,GRANT ST,nan,nan,2884,37.8581336,-122.2735144,772920.0
2345,College Avenue,055 186901100,nan,COLLEGE AVE,nan,nan,10549,37.8677522,-122.2540154,241231.0
1410,Spruce Street,059 225700800,nan,SPRUCE ST,nan,nan,2676,37.8819982,-122.2663525,209369.0
43,Senior Avenue,060 249002603,nan,SENIOR AVE,nan,nan,2880,37.882356,-122.2490684,1069422.0
602,San Miguel Avenue,062 289003400,nan,SAN MIGUEL AVE,nan,nan,1514,37.896835,-122.2836668,458900.0
920,Hilldale Avenue,063 297101700,nan,HILLDALE AVE,nan,nan,1564,37.89479,-122.2632329,985101.0
757,Hilldale Avenue,063 296306503,nan,HILLDALE AVE,nan,nan,2058,37.8978373,-122.2646349,115745.0
1206,Peralta Avenue,060 241700500,nan,PERALTA AVE,nan,nan,1329,37.8822842,-122.2875326,560533.0
2,Claremont Crescent,052 156505500,nan,CLAREMONT CRES,nan,nan,2219,37.8577669,-122.2469339,107817.0
2313,Sacramento Street,055 191406200,nan,SACRAMENTO ST,nan,nan,1444,37.8653522,-122.2811488,279771.0
2115,Eunice Street,061 256101700,nan,EUNICE ST,nan,nan,1343,37.8859446,-122.2692929,223590.0
1211,Peralta Avenue,060 241602900,nan,PERALTA AVE,nan,nan,2409,37.8819921,-122.2871249,185705.0
3044,Halcyon Court,052 157600900,nan,HALCYON CT,nan,nan,2734,37.8542485,-122.2613695,416407.0
3008,Wheeler Street,053 158700300,nan,WHEELER ST,nan,nan,1290,37.8551843,-122.2647459,48019.0
561,Cragmont Avenue,063 295303001,nan,CRAGMONT AVE,nan,nan,1566,37.9015861,-122.2684725,1030127.0
1626,Posen Avenue,060 243600200,nan,POSEN AVE,nan,nan,2085,37.8843384,-122.2799054,73387.0
1710,Portland Avenue,062 288101800,nan,PORTLAND AVE,nan,nan,2011,37.8944614,-122.2839144,366246.0
2444,Virginia Street,058 219302100,nan,VIRGINIA ST,F,nan,1409,37.8774193,-122.2617864,728057.0
1234,Addison Street,056 198900300,nan,ADDISON ST,nan,nan,1647,37.8685054,-122.2878083,774513.0
2550,Dana Street,055 183206000,nan,DANA ST,G15,nan,360,37.863204,-122.2606906,12494.0
1412,Delaware Street,057 207700700,nan,DELAWARE ST,nan,nan,1041,37.8726528,-122.2838906,47566.0
2304,California Street,055 191300600,nan,CALIFORNIA ST,nan,nan,1318,37.8657602,-122.2795392,788728.0
1711,Francisco Street,058 216001200,nan,FRANCISCO ST,nan,nan,1450,37.8748265,-122.2773491,832478.0
2612,Haste Street,055 187402301,nan,HASTE ST,nan,nan,324989,37.8657901,-122.2548863,0.0
1423,Scenic Avenue,059 224903600,nan,SCENIC AVE,nan,nan,1380,37.8823386,-122.2630297,467076.0
2015,Virginia Street,058 217400800,nan,VIRGINIA ST,nan,nan,0,37.8768465,-122.2707271,0.0
2222,Ninth Street,056 197002900,nan,NINTH ST,COM,nan,0,37.8650186,-122.2935326,0.0
1326,Milvia Street,060 245103900,nan,MILVIA ST,B,nan,938,37.8824958,-122.2722082,200108.0
2219,Sacramento Street,056 199902200,nan,SACRAMENTO ST,nan,nan,914,37.8668003,-122.281316,223636.0
2146,Russell Street,052 158200300,nan,RUSSELL ST,nan,nan,1696,37.8568624,-122.2643252,644376.0
1343,Ashby Avenue,053 162300700,nan,ASHBY AVE,nan,nan,1015,37.8534109,-122.281886,356544.0
199,Fairlawn Drive,060 248703900,nan,FAIRLAWN DR,nan,nan,1710,37.8847344,-122.2501187,174224.0
1873,San Juan Avenue,062 291102500,nan,SAN JUAN AVE,nan,nan,1919,37.8980437,-122.278783,91056.0
80,Hill Road,063 316100700,nan,HILL RD,nan,nan,2913,37.8883935,-122.2512038,1526662.0
1345,Talbot Avenue,060 240001500,nan,TALBOT AVE,nan,nan,1310,37.8797263,-122.2917305,526065.0
1975,Yosemite Road,062 292002600,nan,YOSEMITE RD,nan,nan,3931,37.8956096,-122.2760583,1008086.0
1137,Shattuck Avenue,061 256102800,nan,SHATTUCK AVE,nan,nan,2482,37.8868496,-122.2699195,1545840.0
1636,Bonita Avenue,058 217101600,nan,BONITA AVE,nan,nan,1160,37.8765663,-122.2726185,1006025.0
725,Cragmont Avenue,063 295603801,nan,CRAGMONT AVE,nan,nan,4331,37.8977017,-122.2678802,2003179.0
